지점,지점명,일시,평균기온,최저기온,최고기온,평균최저기온,평균최고기온,평균 해면기압,합계 강수량,일 최다 강수량,평균 상대습도,합계 일조시간,일조율,합계 일사량,평균 풍속,최다 풍향,합계 소형 증발량,합계 대형 증발량
95,철원,2016,11.2,-20.6,34.3,5.5,17.4,1016.6,1180.9,154.2,67.3,2356.9,52.81,,1.5,200,,
95,철원,2017,10.5,-18.8,33.8,4.5,16.8,1016.8,1233.4,117.9,65.8,2379.7,53.57,,1.5,200,,
95,철원,2018,10.4,-25.2,38.4,4.6,16.7,1017.4,1480.6,384.3,69.1,2506.1,56.27,,1.7,200,,
95,철원,2019,11.1,-17.1,35.1,5,17.5,1016.8,920.5,105.4,73.7,2754.5,61.99,5170.99,1.2,200,1257.7,880.7
95,철원,2020,11,-18.8,34.9,5.4,16.9,1017,1749.3,155.5,78.3,2597.2,58.19,5098.45,1.3,200,1160.8,812.1
95,철원,2021,11.3,-22.4,35.7,5.6,17.5,1017,1115.3,79.4,78.7,2669.6,59.94,5351.69,1.3,200,1216.6,851.7
95,철원,2022,10.5,-20.4,34.5,4.7,16.7,1017.3,1752.7,144.1,74.8,2683,60.24,5386.3,1.3,20,1212.8,849
95,철원,2023,11.5,-21.9,33.8,5.9,17.5,1017.1,1467.2,75.5,74.7,2499.2,56.3,5309.75,1.3,230,1262.6,882.9
98,동두천,1998,12.1,-17.8,33.2,7.2,18.1,1015.9,2102.2,208.5,70.8,1901.7,43.29,,1.4,50,917.9,
98,동두천,1999,11.5,-15.3,35.4,6.5,17.5,1015.6,1752.2,377.5,68.4,2116.4,47.54,,1.6,50,987.6,
98,동두천,2000,11,-17.2,34.5,5.7,17.1,1016.2,1345.2,185.5,66,2091.3,46.87,,1.9,360,839.7,
98,동두천,2001,10.8,-26.2,35.5,5.2,17.7,1016.6,1278,105.4,65,2208.9,49.62,,1.8,360,,
98,동두천,2002,11.1,-20.4,35.6,5.8,17.5,1016.1,1261.1,133.5,65.6,2052.9,46.09,,1.5,360,,
98,동두천,2003,11.1,-19.7,33,6.1,17.3,1016.7,1853.5,201.5,68.4,1925,43.22,,1.1,360,,
98,동두천,2004,11.2,-19.6,35.6,5.8,17.8,1016.6,1534.5,154.5,64.2,2145.8,48.07,,1.7,360,,
98,동두천,2005,10.3,-18,34.8,5.1,16.9,1016.4,1378.2,116,64.6,2167.7,48.67,,1.8,20,,
98,동두천,2006,11.2,-17.5,34.8,6.1,17.8,1016.4,1360.1,208,66.6,1972.1,44.27,,1.6,360,,
98,동두천,2007,11.5,-13.8,34.3,6.6,18,1016.1,1286.3,91.5,67.3,1856.5,41.68,,1.6,180,,
98,동두천,2008,11.7,-15.2,35.2,6.6,18.2,1016.3,1518.2,265,68.1,2137.1,47.88,,1.6,20,,
98,동두천,2009,11.7,-15,34.1,6.7,17.9,1015.8,1527.8,233.5,66.9,2087.1,46.86,,1.7,250,,
98,동두천,2010,10.9,-19.5,33,6.2,16.7,1016.3,1939.5,121.5,67.5,1845.9,41.44,,1.7,20,,
98,동두천,2011,10.7,-19.1,35.2,5.9,16.8,1016.6,2311.2,449.5,63.9,2111.8,47.41,,1.4,360,,
98,동두천,2012,11,-19.7,36.4,6,17.4,1015.6,1383.9,105,64,2408.2,53.95,,1.7,360,,
98,동두천,2013,11.4,-20.7,34.3,6.4,17.5,1015.6,1470.9,131,67.3,2398.2,53.84,,1.7,20,,
98,동두천,2014,12.1,-15.6,36.3,6.9,18.7,1016.2,741.6,66.5,64.2,2418,54.29,,1.6,20,,
98,동두천,2015,12.4,-14.3,35.7,7.1,19,1016.1,988.5,105.8,62,2483.1,55.74,0,1.6,20,,
98,동두천,2016,12.6,-19.3,35.7,7.3,19.3,1016.1,1087.2,162.1,61,2412.1,54.04,,1.6,20,,
98,동두천,2017,11.8,-16.6,35.9,6.4,18.6,1016.6,989.7,93,60.7,2446.4,54.92,,1.7,20,,
98,동두천,2018,11.7,-20.4,38.7,6.4,18.4,1017.4,1500,279.6,61,2590.3,58.15,,1.6,20,,
98,동두천,2019,12,-13.4,35.8,6.6,18.4,1017,1028.1,129.6,68.6,2563.3,57.55,,1.4,20,,
98,동두천,2020,11.8,-15.9,35.5,6.8,18,1017.2,1641.9,129.1,72.8,2440.3,54.67,,1.4,20,,
98,동두천,2021,12.1,-20.2,35.7,6.9,18.4,1017,1035.6,79.4,73.4,2417.4,54.27,768.57,1.3,20,65.1,45.7
98,동두천,2022,11.5,-16.8,35.4,6.3,17.9,1016.9,1922.6,219.9,70.3,2500.4,56.13,5205.65,1.2,250,1231.5,861.4
98,동두천,2023,12.5,-20.3,34.3,7.4,18.5,1016.6,1412.7,79.5,71.9,2282.7,51.24,5096.78,1.1,20,1238.2,867.4
